Country,Americas,International Calling Code,Mobile Prefix,Size of NSN,Carrier,Notes
Haiti,TRUE,509,38,?,Digicel,
Haiti,TRUE,509,4x,?,Any carrier,
Hawaii,TRUE,1,808,10,,
Honduras,TRUE,504,3,8,Claro,
Honduras,TRUE,504,7,8,Hondutel,
Honduras,TRUE,504,8,8,Digicel,
Honduras,TRUE,504,9,8,Tigo,
Jamaica,TRUE,1,876,10,,"NANP member, no mobile-specific prefix"
Martinique,TRUE,596,696,9,,+596 696 xx xx xx
Martinique,TRUE,596,700,12?,,(NSN = 12 means +596 700 xxx xxx xxx)
Mexico,TRUE,52,1,10,"Telcel, Movistar, IUSACell, Nextel, UNEFON, Virgin Mobile, Tuenti",+52 then three digits for code area and seven for mobile line ID. Example +52 000 1234567
Montserrat,TRUE,1,664,10,,"NANP member, no mobile-specific prefix"
Nicaragua,TRUE,505,8,8,,
Panama,TRUE,507,6,8,,
Paraguay,TRUE,595,9xx,9,Tigo,First cellular operator in this country since 1991
Peru,TRUE,51,9,9,,
Philippines,TRUE,63,973,10,Express Telecom,
Philippines,TRUE,63,974,10,Express Telecom,
Philippines,TRUE,63,905,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,906,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,977,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,915,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,916,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,926,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,927,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,935,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,936,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,937,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,996,10,"Globe Telecom, Touch Mobile",
Philippines,TRUE,63,997,10,,
Philippines,TRUE,63,917,10,Globe Telecom,
Philippines,TRUE,63,979,10,Next Mobile,
Philippines,TRUE,63,920,10,"Smart Communications, Talk 'N Text, Addict Mobile",
Philippines,TRUE,63,930,10,"Smart Communications, Talk 'N Text, Red Mobile",
Philippines,TRUE,63,938,10,"Smart Communications, Talk 'N Text, Red Mobile",
Philippines,TRUE,63,939,10,"Smart Communications, Talk 'N Text, Red Mobile",
Philippines,TRUE,63,907,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,908,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,909,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,910,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,912,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,919,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,921,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,928,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,929,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,947,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,948,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,949,10,"Smart Communications, Talk 'N Text",
Philippines,TRUE,63,989,10,,
Philippines,TRUE,63,918,10,Smart Communications,
Philippines,TRUE,63,999,10,"Smart Communications, Red Mobile",
Philippines,TRUE,63,922,10,Sun Cellular,
Philippines,TRUE,63,923,10,Sun Cellular,
Philippines,TRUE,63,932,10,Sun Cellular,
Philippines,TRUE,63,933,10,Sun Cellular,
Philippines,TRUE,63,942,10,Sun Cellular,
Philippines,TRUE,63,943,10,Sun Cellular,
Puerto Rico,TRUE,1,787,10,,Mobile phones use geographic numbers that cannot be recognized as cell numbers.
Puerto Rico,TRUE,1,939,10,,Mobile phones use geographic numbers that cannot be recognized as cell numbers.
Saint Barthélemy,TRUE,590,6,?,,See Guadeloupe
Saint Kitts and Nevis,TRUE,1,869,10,,"NANP member, no mobile-specific prefix"
Saint Lucia,TRUE,1,758,10,,"NANP member, no mobile-specific prefix"
Collectivity of Saint Martin,TRUE,590,6,?,,See Guadeloupe
Saint Pierre and Miquelon,TRUE,508,??,?,,
Saint Vincent and the Grenadines,TRUE,1,784,10,,"NANP member, no mobile-specific prefix"
Sint Maarten,TRUE,1,721,10,,"NANP member, no mobile-specific prefix"
Suriname,TRUE,597,8,?,,
Trinidad and Tobago,TRUE,1,868,10,Trinidad and Tobago Cellular,"+1-868-620, +1-868-678,+1-868-700 to +1-868-799,+1-868-680 to +1-868-689"
United States (USA),TRUE,1,No clear distinction between land and cell numbers. Area code structure: N-X-Y N is not 0 or 1 X is not 9 X ≠ Y,10,,"Mobile phones use geographic area codes. However, there are exchange codes used for only mobile devices. Also, some overlay area codes are only used on mobile devices, or special internet phone systems other than most VoIP systems (e.g.: Google Voice, eFax, eVoice)."
Uruguay,TRUE,598,91,?,Ancel,
Uruguay,TRUE,598,93,?,Movistar,
Uruguay,TRUE,598,94,?,Movistar,
Uruguay,TRUE,598,95,?,Movistar,
Uruguay,TRUE,598,96,?,Claro,
Uruguay,TRUE,598,97,?,Claro,
Uruguay,TRUE,598,98,?,Ancel,
Uruguay,TRUE,598,99,?,Ancel,
Venezuela,TRUE,58,4xx,7,,
Venezuela,TRUE,58,412,7,Digitel GSM,
Venezuela,TRUE,58,414,7,Movistar,
Venezuela,TRUE,58,416,7,Movilnet,
Venezuela,TRUE,58,424,7,Movistar,
Venezuela,TRUE,58,426,7,Movilnet,
